[2022-10-07-07-56-42] Start Http Server
[2022-10-07-07-56-45] [ GET /127.0.0.1 ] /
[2022-10-07-07-58-34] [ GET /127.0.0.1 ] /
[2022-10-07-07-58-34] [ GET /127.0.0.1 ] /css/index.css
[2022-10-07-07-58-34] [ GET /127.0.0.1 ] /js/search.js
[2022-10-07-07-58-34] [ GET /127.0.0.1 ] /js/index.js
[2022-10-07-07-58-34] [ GET /127.0.0.1 ] /img/fire.jpg
[2022-10-07-07-58-34] [ GET /127.0.0.1 ] /img/gitee.ico
[2022-10-07-07-58-34] [ GET /127.0.0.1 ] /img/fluidicon.png
[2022-10-07-07-58-34] [ GET /127.0.0.1 ] /img/favicon.ico
[2022-10-07-07-58-34] [ GET /127.0.0.1 ] /img/chat.png
[2022-10-07-07-58-34] [ GET /127.0.0.1 ] /img/website_logo.ico
[2022-10-07-07-58-34] [ GET /127.0.0.1 ] /img/linux.png
[2022-10-07-07-58-34] [ GET /127.0.0.1 ] /img/ico3.png
[2022-10-07-07-58-34] [ GET /127.0.0.1 ] /img/UChat.png
[2022-10-07-07-58-34] [ GET /127.0.0.1 ] /img/logo.png
[2022-10-07-07-58-34] [ GET /127.0.0.1 ] /img/windows.png
[2022-10-07-07-58-34] [ GET /127.0.0.1 ] /img/deepin.png
[2022-10-07-07-58-34] [ GET /127.0.0.1 ] /img/warty-final-ubuntukylin.jpg
[2022-10-07-07-58-36] [ GET /127.0.0.1 ] /document
[2022-10-07-07-58-36] [ GET /127.0.0.1 ] /js/document.js
[2022-10-07-07-58-36] [ GET /127.0.0.1 ] /css/document.css
[2022-10-07-07-58-36] [ GET /127.0.0.1 ] /1.htm
[2022-10-07-07-58-40] [ GET /127.0.0.1 ] /agreement.html
[2022-10-07-07-59-37] [ GET /127.0.0.1 ] /agreement.html
